gene_ID	transcript_ID	annot_gene_id	annot_transcript_id	annot_gene_name	annot_transcript_name	n_exons	length	gene_novelty	transcript_novelty	ISM_subtype	Plasmomerged1
113	115	PF3D7_0113000	PF3D7_0113000.1	TALONG000000113	TALONT000000115	2	3449	Known	Known	None	2
116	118	PF3D7_0113300	PF3D7_0113300.1	TALONG000000116	TALONT000000118	2	2939	Known	Known	None	3
153	155	PF3D7_0202100	PF3D7_0202100.1	TALONG000000153	TALONT000000155	2	3334	Known	Known	None	1
154	156	PF3D7_0202200	PF3D7_0202200.1	TALONG000000154	TALONT000000156	2	2984	Known	Known	None	2
156	158	PF3D7_0202400	PF3D7_0202400.1	TALONG000000156	TALONT000000158	1	6256	Known	Known	None	4
157	159	PF3D7_0202500	PF3D7_0202500.1	TALONG000000157	TALONT000000159	1	1887	Known	Known	None	28
159	162	PF3D7_0202700	PF3D7_0202700.1	TALONG000000159	TALONT000000162	1	2837	Known	Known	None	1
160	163	PF3D7_0202800	PF3D7_0202800.1	TALONG000000160	TALONT000000163	4	3628	Known	Known	None	1
161	164	PF3D7_0202900	PF3D7_0202900.1	TALONG000000161	TALONT000000164	10	1244	Known	Known	None	2
166	169	PF3D7_0203400	PF3D7_0203400.1	TALONG000000166	TALONT000000169	4	1814	Known	Known	None	2
167	170	PF3D7_0203600	PF3D7_0203600.1	TALONG000000167	TALONT000000170	1	2648	Known	Known	None	2
170	173	PF3D7_0203900	PF3D7_0203900.1	TALONG000000170	TALONT000000173	1	2368	Known	Known	None	3
172	175	PF3D7_0204100	PF3D7_0204100.1	TALONG000000172	TALONT000000175	1	8129	Known	Known	None	7
173	176	PF3D7_0204200	PF3D7_0204200.1	TALONG000000173	TALONT000000176	5	943	Known	Known	None	1
174	177	PF3D7_0204300	PF3D7_0204300.1	TALONG000000174	TALONT000000177	1	2880	Known	Known	None	5
177	180	PF3D7_0204600	PF3D7_0204600.1	TALONG000000177	TALONT000000180	1	4566	Known	Known	None	1
178	181	PF3D7_0204700	PF3D7_0204700.1	TALONG000000178	TALONT000000181	1	2642	Known	Known	None	1
180	183	PF3D7_0204900	PF3D7_0204900.1	TALONG000000180	TALONT000000183	2	1354	Known	Known	None	1
181	184	PF3D7_0205000	PF3D7_0205000.1	TALONG000000181	TALONT000000184	1	2043	Known	Known	None	1
185	188	PF3D7_0205400	PF3D7_0205400.1	TALONG000000185	TALONT000000188	2	2395	Known	Known	None	5
186	189	PF3D7_0205500	PF3D7_0205500.1	TALONG000000186	TALONT000000189	3	942	Known	Known	None	4
187	190	PF3D7_0205600	PF3D7_0205600.1	TALONG000000187	TALONT000000190	1	2828	Known	Known	None	2
188	191	PF3D7_0205700	PF3D7_0205700.1	TALONG000000188	TALONT000000191	6	987	Known	Known	None	1
189	193	PF3D7_0205800	PF3D7_0205800.1	TALONG000000189	TALONT000000193	3	892	Known	Known	None	3
190	194	PF3D7_0205900	PF3D7_0205900.1	TALONG000000190	TALONT000000194	4	3985	Known	Known	None	17
194	198	PF3D7_0206500	PF3D7_0206500.1	TALONG000000194	TALONT000000198	1	5277	Known	Known	None	1
196	200	PF3D7_0206700	PF3D7_0206700.1	TALONG000000196	TALONT000000200	1	3338	Known	Known	None	3
197	201	PF3D7_0206800	PF3D7_0206800.1	TALONG000000197	TALONT000000201	1	3342	Known	Known	None	111
198	202	PF3D7_0206900	PF3D7_0206900.1	TALONG000000198	TALONT000000202	2	1631	Known	Known	None	1
199	204	PF3D7_0207000	PF3D7_0207000.1	TALONG000000199	TALONT000000204	2	2390	Known	Known	None	4
203	208	PF3D7_0207400	PF3D7_0207400.1	TALONG000000203	TALONT000000208	4	3582	Known	Known	None	3
204	209	PF3D7_0207500	PF3D7_0207500.1	TALONG000000204	TALONT000000209	4	3869	Known	Known	None	2
205	210	PF3D7_0207600	PF3D7_0207600.1	TALONG000000205	TALONT000000210	4	3527	Known	Known	None	8
206	211	PF3D7_0207700	PF3D7_0207700.1	TALONG000000206	TALONT000000211	4	3301	Known	Known	None	2
207	212	PF3D7_0207800	PF3D7_0207800.1	TALONG000000207	TALONT000000212	4	3455	Known	Known	None	3
211	216	PF3D7_0208200	PF3D7_0208200.1	TALONG000000211	TALONT000000216	1	1580	Known	Known	None	1
212	217	PF3D7_0208300	PF3D7_0208300.1	TALONG000000212	TALONT000000217	1	5914	Known	Known	None	2
213	218	PF3D7_0208400	PF3D7_0208400.1	TALONG000000213	TALONT000000218	1	9059	Known	Known	None	12
214	219	PF3D7_0208500	PF3D7_0208500.1	TALONG000000214	TALONT000000219	3	2015	Known	Known	None	1
215	220	PF3D7_0208600	PF3D7_0208600.1	TALONG000000215	TALONT000000220	1	2108	Known	Known	None	8
216	221	PF3D7_0208700	PF3D7_0208700.1	TALONG000000216	TALONT000000221	7	995	Known	Known	None	2
217	222	PF3D7_0208800	PF3D7_0208800.1	TALONG000000217	TALONT000000222	1	2003	Known	Known	None	1
221	226	PF3D7_0209200	PF3D7_0209200.1	TALONG000000221	TALONT000000226	8	1469	Known	Known	None	2
222	227	PF3D7_0209300	PF3D7_0209300.1	TALONG000000222	TALONT000000227	2	1151	Known	Known	None	7
225	230	PF3D7_0209600	PF3D7_0209600.1	TALONG000000225	TALONT000000230	8	4208	Known	Known	None	1
227	232	PF3D7_0209800	PF3D7_0209800.1	TALONG000000227	TALONT000000232	2	2911	Known	Known	None	24
228	233	PF3D7_0210000	PF3D7_0210000.1	TALONG000000228	TALONT000000233	1	1217	Known	Known	None	19
229	235	PF3D7_0210100	PF3D7_0210100.1	TALONG000000229	TALONT000000235	3	1251	Known	Known	None	14
230	236	PF3D7_0210200	PF3D7_0210200.1	TALONG000000230	TALONT000000236	2	8821	Known	Known	None	5
231	237	PF3D7_0210300	PF3D7_0210300.1	TALONG000000231	TALONT000000237	2	2325	Known	Known	None	2
232	238	PF3D7_0210400	PF3D7_0210400.1	TALONG000000232	TALONT000000238	4	1061	Known	Known	None	1
237	243	PF3D7_0210900	PF3D7_0210900.1	TALONG000000237	TALONT000000243	1	2190	Known	Known	None	46
238	244	PF3D7_0211100	PF3D7_0211100.1	TALONG000000238	TALONT000000244	1	3842	Known	Known	None	1
239	245	PF3D7_0211200	PF3D7_0211200.1	TALONG000000239	TALONT000000245	1	1636	Known	Known	None	2
244	250	PF3D7_0211700	PF3D7_0211700.1	TALONG000000244	TALONT000000250	1	4760	Known	Known	None	1
245	251	PF3D7_0211800	PF3D7_0211800.1	TALONG000000245	TALONT000000251	1	2510	Known	Known	None	11
246	252	PF3D7_0211900	PF3D7_0211900.1	TALONG000000246	TALONT000000252	3	2321	Known	Known	None	2
247	253	PF3D7_0212000	PF3D7_0212000.1	TALONG000000247	TALONT000000253	3	1775	Known	Known	None	1
248	254	PF3D7_0212100	PF3D7_0212100.1	TALONG000000248	TALONT000000254	1	6381	Known	Known	None	2
249	255	PF3D7_0212200	PF3D7_0212200.1	TALONG000000249	TALONT000000255	2	1907	Known	Known	None	1
250	256	PF3D7_0212300	PF3D7_0212300.1	TALONG000000250	TALONT000000256	3	3059	Known	Known	None	2
254	260	PF3D7_0212700	PF3D7_0212700.1	TALONG000000254	TALONT000000260	1	1598	Known	Known	None	2
256	262	PF3D7_0212900	PF3D7_0212900.1	TALONG000000256	TALONT000000262	1	2657	Known	Known	None	4
257	263	PF3D7_0213000	PF3D7_0213000.1	TALONG000000257	TALONT000000263	1	2287	Known	Known	None	6
258	264	PF3D7_0213100	PF3D7_0213100.1	TALONG000000258	TALONT000000264	3	2165	Known	Known	None	2
262	268	PF3D7_0213500	PF3D7_0213500.1	TALONG000000262	TALONT000000268	5	1807	Known	Known	None	2
264	270	PF3D7_0213700	PF3D7_0213700.1	TALONG000000264	TALONT000000270	2	1293	Known	Known	None	2
267	273	PF3D7_0214000	PF3D7_0214000.1	TALONG000000267	TALONT000000273	2	2705	Known	Known	None	3
268	274	PF3D7_0214100	PF3D7_0214100.1	TALONG000000268	TALONT000000274	4	5277	Known	Known	None	1
270	276	PF3D7_0214300	PF3D7_0214300.1	TALONG000000270	TALONT000000276	1	9270	Known	Known	None	4
272	278	PF3D7_0214500	PF3D7_0214500.1	TALONG000000272	TALONT000000278	1	1643	Known	Known	None	3
276	282	PF3D7_0214900	PF3D7_0214900.1	TALONG000000276	TALONT000000282	15	4488	Known	Known	None	1
278	284	PF3D7_0215100	PF3D7_0215100.1	TALONG000000278	TALONT000000284	7	2039	Known	Known	None	1
282	288	PF3D7_0215500	PF3D7_0215500.1	TALONG000000282	TALONT000000288	1	3565	Known	Known	None	2
283	289	PF3D7_0215600	PF3D7_0215600.1	TALONG000000283	TALONT000000289	1	2096	Known	Known	None	1
284	290	PF3D7_0215700	PF3D7_0215700.1	TALONG000000284	TALONT000000290	2	4959	Known	Known	None	1
285	291	PF3D7_0215800	PF3D7_0215800.1	TALONG000000285	TALONT000000291	1	3222	Known	Known	None	2
288	294	PF3D7_0216100	PF3D7_0216100.1	TALONG000000288	TALONT000000294	1	3728	Known	Known	None	2
289	295	PF3D7_0216200	PF3D7_0216200.1	TALONG000000289	TALONT000000295	2	1141	Known	Known	None	1
290	296	PF3D7_0216300	PF3D7_0216300.1	TALONG000000290	TALONT000000296	1	4886	Known	Known	None	2
291	297	PF3D7_0216400	PF3D7_0216400.1	TALONG000000291	TALONT000000297	1	2643	Known	Known	None	3
295	302	PF3D7_0216800	PF3D7_0216800.1	TALONG000000295	TALONT000000302	1	3717	Known	Known	None	1
299	306	PF3D7_0217200	PF3D7_0217200.1	TALONG000000299	TALONT000000306	1	6134	Known	Known	None	1
301	308	PF3D7_0217400	PF3D7_0217400.1	TALONG000000301	TALONT000000308	2	1808	Known	Known	None	5
302	309	PF3D7_0217500	PF3D7_0217500.1	TALONG000000302	TALONT000000309	5	3702	Known	Known	None	2
305	312	PF3D7_0217800	PF3D7_0217800.1	TALONG000000305	TALONT000000312	2	1005	Known	Known	None	17
306	313	PF3D7_0217900	PF3D7_0217900.1	TALONG000000306	TALONT000000313	1	3160	Known	Known	None	1
307	314	PF3D7_0218000	PF3D7_0218000.1	TALONG000000307	TALONT000000314	2	1704	Known	Known	None	1
308	315	PF3D7_0218100	PF3D7_0218100.1	TALONG000000308	TALONT000000315	4	1514	Known	Known	None	4
309	316	PF3D7_0218200	PF3D7_0218200.1	TALONG000000309	TALONT000000316	1	4072	Known	Known	None	4
311	318	PF3D7_0218400	PF3D7_0218400.1	TALONG000000311	TALONT000000318	1	2024	Known	Known	None	1
312	319	PF3D7_0218500	PF3D7_0218500.1	TALONG000000312	TALONT000000319	2	2328	Known	Known	None	3
313	320	PF3D7_0218600	PF3D7_0218600.1	TALONG000000313	TALONT000000320	1	8372	Known	Known	None	2
314	321	PF3D7_0218700	PF3D7_0218700.1	TALONG000000314	TALONT000000321	2	2425	Known	Known	None	1
315	322	PF3D7_0219100	PF3D7_0219100.1	TALONG000000315	TALONT000000322	1	1933	Known	Known	None	1
316	323	PF3D7_0219200	PF3D7_0219200.1	TALONG000000316	TALONT000000323	2	1224	Known	Known	None	29
317	324	PF3D7_0219300	PF3D7_0219300.1	TALONG000000317	TALONT000000324	1	1021	Known	Known	None	4
318	325	PF3D7_0219400	PF3D7_0219400.1	TALONG000000318	TALONT000000325	3	1476	Known	Known	None	17
319	326	PF3D7_0219500	PF3D7_0219500.1	TALONG000000319	TALONT000000326	2	1840	Known	Known	None	4
320	327	PF3D7_0219600	PF3D7_0219600.1	TALONG000000320	TALONT000000327	1	3629	Known	Known	None	2
321	328	PF3D7_0219700	PF3D7_0219700.1	TALONG000000321	TALONT000000328	2	1429	Known	Known	None	1
326	333	PF3D7_0220200	PF3D7_0220200.1	TALONG000000326	TALONT000000333	2	3378	Known	Known	None	3
329	336	PF3D7_0220600	PF3D7_0220600.1	TALONG000000329	TALONT000000336	2	2774	Known	Known	None	2
331	338	PF3D7_0220800	PF3D7_0220800.1	TALONG000000331	TALONT000000338	9	5124	Known	Known	None	1
333	340	PF3D7_0221200	PF3D7_0221200.1	TALONG000000333	TALONT000000340	2	2557	Known	Known	None	2
360	367	PF3D7_0301300	PF3D7_0301300.1	TALONG000000360	TALONT000000367	2	2161	Known	Known	None	1
362	369	PF3D7_0301500	PF3D7_0301500.1	TALONG000000362	TALONT000000369	2	3315	Known	Known	None	2
364	371	PF3D7_0301700	PF3D7_0301700.1	TALONG000000364	TALONT000000371	2	3514	Known	Known	None	4
365	372	PF3D7_0301800	PF3D7_0301800.1	TALONG000000365	TALONT000000372	2	2448	Known	Known	None	2
366	373	PF3D7_0301900	PF3D7_0301900.1	TALONG000000366	TALONT000000373	1	2068	Known	Known	None	8
367	374	PF3D7_0302000	PF3D7_0302000.1	TALONG000000367	TALONT000000374	2	2571	Known	Known	None	2
368	375	PF3D7_0302100	PF3D7_0302100.1	TALONG000000368	TALONT000000375	1	6706	Known	Known	None	2
370	377	PF3D7_0302500	PF3D7_0302500.1	TALONG000000370	TALONT000000377	9	5711	Known	Known	None	1
371	378	PF3D7_0302600	PF3D7_0302600.1	TALONG000000371	TALONT000000378	1	4821	Known	Known	None	2
372	379	PF3D7_0302700	PF3D7_0302700.1	TALONG000000372	TALONT000000379	3	993	Known	Known	None	3
374	381	PF3D7_0302900	PF3D7_0302900.1	TALONG000000374	TALONT000000381	3	6002	Known	Known	None	6
377	384	PF3D7_0303200	PF3D7_0303200.1	TALONG000000377	TALONT000000384	5	4918	Known	Known	None	1
378	385	PF3D7_0303300	PF3D7_0303300.1	TALONG000000378	TALONT000000385	2	2101	Known	Known	None	6
379	386	PF3D7_0303400	PF3D7_0303400.1	TALONG000000379	TALONT000000386	8	3451	Known	Known	None	7
381	388	PF3D7_0303600	PF3D7_0303600.1	TALONG000000381	TALONT000000388	1	1135	Known	Known	None	1
383	390	PF3D7_0303800	PF3D7_0303800.1	TALONG000000383	TALONT000000390	1	2994	Known	Known	None	6
387	394	PF3D7_0304200	PF3D7_0304200.1	TALONG000000387	TALONT000000394	1	2349	Known	Known	None	1
389	396	PF3D7_0304400	PF3D7_0304400.1	TALONG000000389	TALONT000000396	2	1700	Known	Known	None	34
393	400	PF3D7_0304800	PF3D7_0304800.1	TALONG000000393	TALONT000000400	1	4734	Known	Known	None	1
394	401	PF3D7_0304900	PF3D7_0304900.1	TALONG000000394	TALONT000000401	1	1299	Known	Known	None	1
395	402	PF3D7_0305000	PF3D7_0305000.1	TALONG000000395	TALONT000000402	2	1737	Known	Known	None	3
396	403	PF3D7_0305100	PF3D7_0305100.1	TALONG000000396	TALONT000000403	1	11937	Known	Known	None	1
397	404	PF3D7_0305200	PF3D7_0305200.1	TALONG000000397	TALONT000000404	1	4991	Known	Known	None	14
399	406	PF3D7_0305400	PF3D7_0305400.1	TALONG000000399	TALONT000000406	3	1098	Known	Known	None	2
400	407	PF3D7_0305500	PF3D7_0305500.1	TALONG000000400	TALONT000000407	1	12811	Known	Known	None	3
401	408	PF3D7_0305600	PF3D7_0305600.1	TALONG000000401	TALONT000000408	1	3382	Known	Known	None	9
402	409	PF3D7_0305700	PF3D7_0305700.1	TALONG000000402	TALONT000000409	3	1374	Known	Known	None	2
405	412	PF3D7_0306000	PF3D7_0306000.1	TALONG000000405	TALONT000000412	1	1105	Known	Known	None	1
406	413	PF3D7_0306100	PF3D7_0306100.1	TALONG000000406	TALONT000000413	2	3154	Known	Known	None	1
407	414	PF3D7_0306200	PF3D7_0306200.1	TALONG000000407	TALONT000000414	5	2534	Known	Known	None	8
408	415	PF3D7_0306300	PF3D7_0306300.1	TALONG000000408	TALONT000000415	5	2556	Known	Known	None	9
409	416	PF3D7_0306400	PF3D7_0306400.1	TALONG000000409	TALONT000000416	1	3391	Known	Known	None	4
410	417	PF3D7_0306500	PF3D7_0306500.1	TALONG000000410	TALONT000000417	1	1735	Known	Known	None	5
411	418	PF3D7_0306600	PF3D7_0306600.1	TALONG000000411	TALONT000000418	1	923	Known	Known	None	1
412	419	PF3D7_0306700	PF3D7_0306700.1	TALONG000000412	TALONT000000419	4	1854	Known	Known	None	3
413	420	PF3D7_0306800	PF3D7_0306800.1	TALONG000000413	TALONT000000420	2	2423	Known	Known	None	1
414	421	PF3D7_0306900	PF3D7_0306900.1	TALONG000000414	TALONT000000421	3	2195	Known	Known	None	7
415	422	PF3D7_0307100	PF3D7_0307100.1	TALONG000000415	TALONT000000422	2	1166	Known	Known	None	2
416	423	PF3D7_0307200	PF3D7_0307200.1	TALONG000000416	TALONT000000423	3	1635	Known	Known	None	17
418	425	PF3D7_0307400	PF3D7_0307400.1	TALONG000000418	TALONT000000425	1	1588	Known	Known	None	4
419	426	PF3D7_0307500	PF3D7_0307500.1	TALONG000000419	TALONT000000426	5	2075	Known	Known	None	1
420	427	PF3D7_0307600	PF3D7_0307600.1	TALONG000000420	TALONT000000427	3	2775	Known	Known	None	3
422	429	PF3D7_0307800	PF3D7_0307800.1	TALONG000000422	TALONT000000429	1	3717	Known	Known	None	10
424	431	PF3D7_0308000	PF3D7_0308000.1	TALONG000000424	TALONT000000431	1	2516	Known	Known	None	3
425	432	PF3D7_0308100	PF3D7_0308100.1	TALONG000000425	TALONT000000432	1	6070	Known	Known	None	6
426	433	PF3D7_0308200	PF3D7_0308200.1	TALONG000000426	TALONT000000433	2	3236	Known	Known	None	2
427	434	PF3D7_0308300	PF3D7_0308300.1	TALONG000000427	TALONT000000434	1	1772	Known	Known	None	1
428	435	PF3D7_0308500	PF3D7_0308500.1	TALONG000000428	TALONT000000435	3	1440	Known	Known	None	11
429	436	PF3D7_0308600	PF3D7_0308600.1	TALONG000000429	TALONT000000436	1	2979	Known	Known	None	6
431	438	PF3D7_0308800	PF3D7_0308800.1	TALONG000000431	TALONT000000438	2	938	Known	Known	None	5
433	440	PF3D7_0309000	PF3D7_0309000.1	TALONG000000433	TALONT000000440	6	2659	Known	Known	None	3
436	443	PF3D7_0309300	PF3D7_0309300.1	TALONG000000436	TALONT000000443	1	3836	Known	Known	None	3
437	444	PF3D7_0309500	PF3D7_0309500.1	TALONG000000437	TALONT000000444	2	3297	Known	Known	None	13
438	445	PF3D7_0309600	PF3D7_0309600.1	TALONG000000438	TALONT000000445	2	1767	Known	Known	None	11
439	446	PF3D7_0309700	PF3D7_0309700.1	TALONG000000439	TALONT000000446	1	1827	Known	Known	None	2
445	452	PF3D7_0310300	PF3D7_0310300.1	TALONG000000445	TALONT000000452	2	5411	Known	Known	None	1
446	453	PF3D7_0310400	PF3D7_0310400.1	TALONG000000446	TALONT000000453	1	4085	Known	Known	None	2
447	454	PF3D7_0310500	PF3D7_0310500.1	TALONG000000447	TALONT000000454	1	7935	Known	Known	None	7
448	455	PF3D7_0310600	PF3D7_0310600.1	TALONG000000448	TALONT000000455	2	1540	Known	Known	None	1
455	462	PF3D7_0311300	PF3D7_0311300.1	TALONG000000455	TALONT000000462	4	5901	Known	Known	None	1
458	465	PF3D7_0311600	PF3D7_0311600.1	TALONG000000458	TALONT000000465	5	2918	Known	Known	None	6
460	467	PF3D7_0311800	PF3D7_0311800.1	TALONG000000460	TALONT000000467	3	2404	Known	Known	None	2
463	470	PF3D7_0312100	PF3D7_0312100.1	TALONG000000463	TALONT000000470	1	3811	Known	Known	None	2
465	472	PF3D7_0312300	PF3D7_0312300.1	TALONG000000465	TALONT000000472	1	1175	Known	Known	None	9
466	473	PF3D7_0312400	PF3D7_0312400.1	TALONG000000466	TALONT000000473	7	4102	Known	Known	None	6
468	475	PF3D7_0312800	PF3D7_0312800.1	TALONG000000468	TALONT000000475	3	1256	Known	Known	None	2
470	477	PF3D7_0313000	PF3D7_0313000.1	TALONG000000470	TALONT000000477	2	1330	Known	Known	None	2
471	478	PF3D7_0313100	PF3D7_0313100.1	TALONG000000471	TALONT000000478	4	3298	Known	Known	None	6
472	479	PF3D7_0313200	PF3D7_0313200.1	TALONG000000472	TALONT000000479	1	933	Known	Known	None	2
473	480	PF3D7_0313300	PF3D7_0313300.1	TALONG000000473	TALONT000000480	5	597	Known	Known	None	2
478	485	PF3D7_0313800	PF3D7_0313800.1	TALONG000000478	TALONT000000485	7	3322	Known	Known	None	3
480	487	PF3D7_0314000	PF3D7_0314000.1	TALONG000000480	TALONT000000487	7	1307	Known	Known	None	4
482	490	PF3D7_0314200	PF3D7_0314200.1	TALONG000000482	TALONT000000490	1	4720	Known	Known	None	2
486	494	PF3D7_0314600	PF3D7_0314600.1	TALONG000000486	TALONT000000494	1	2245	Known	Known	None	1
487	495	PF3D7_0314700	PF3D7_0314700.1	TALONG000000487	TALONT000000495	1	5805	Known	Known	None	1
488	496	PF3D7_0314800	PF3D7_0314800.1	TALONG000000488	TALONT000000496	2	3726	Known	Known	None	2
489	497	PF3D7_0314900	PF3D7_0314900.1	TALONG000000489	TALONT000000497	1	2401	Known	Known	None	1
490	498	PF3D7_0315000	PF3D7_0315000.1	TALONG000000490	TALONT000000498	2	1003	Known	Known	None	2
491	499	PF3D7_0315100	PF3D7_0315100.1	TALONG000000491	TALONT000000499	1	1827	Known	Known	None	1
494	502	PF3D7_0315400	PF3D7_0315400.1	TALONG000000494	TALONT000000502	1	1480	Known	Known	None	13
495	503	PF3D7_0315500	PF3D7_0315500.1	TALONG000000495	TALONT000000503	1	1551	Known	Known	None	3
498	506	PF3D7_0315800	PF3D7_0315800.1	TALONG000000498	TALONT000000506	1	1769	Known	Known	None	1
500	508	PF3D7_0316000	PF3D7_0316000.1	TALONG000000500	TALONT000000508	1	2260	Known	Known	None	1
503	511	PF3D7_0316300	PF3D7_0316300.2	TALONG000000503	TALONT000000511	5	1296	Known	Known	None	32
503	512	PF3D7_0316300	PF3D7_0316300.1	TALONG000000503	TALONT000000512	3	1480	Known	Known	None	10
504	513	PF3D7_0316400	PF3D7_0316400.1	TALONG000000504	TALONT000000513	1	3610	Known	Known	None	1
505	514	PF3D7_0316500	PF3D7_0316500.1	TALONG000000505	TALONT000000514	1	3397	Known	Known	None	7
